X,Y,Reconstruction_Error
-1838704.3948793372,-844792.1822701137,0.0
-1835394.0678925058,-844792.1822701137,0.0
-1832083.7409056744,-844792.1822701137,0.0
-1828773.413918843,-844792.1822701137,0.0
-1825463.0869320116,-844792.1822701137,0.0
-1822152.7599451803,-844792.1822701137,0.0
-1818842.432958349,-844792.1822701137,0.0
-1815532.1059715175,-844792.1822701137,0.0
-1812221.7789846861,-844792.1822701137,0.0
-1808911.4519978547,-844792.1822701137,0.0
-1805601.1250110234,-844792.1822701137,0.0
-1802290.798024192,-844792.1822701137,0.0
-1798980.4710373606,-844792.1822701137,0.0
-1795670.1440505292,-844792.1822701137,0.0
-1792359.817063698,-844792.1822701137,0.0
-1789049.4900768667,-844792.1822701137,0.0
-1785739.1630900353,-844792.1822701137,0.0
-1782428.836103204,-844792.1822701137,0.0
-1779118.5091163726,-844792.1822701137,0.0
-1775808.1821295412,-844792.1822701137,0.0
-1772497.8551427098,-844792.1822701137,0.0
-1769187.5281558784,-844792.1822701137,0.0
-1765877.201169047,-844792.1822701137,0.0
-1762566.8741822157,-844792.1822701137,0.0
-1759256.5471953843,-844792.1822701137,0.0
-1755946.220208553,-844792.1822701137,0.0
-1752635.8932217215,-844792.1822701137,0.0
-1749325.5662348901,-844792.1822701137,0.0
-1746015.2392480588,-844792.1822701137,0.0
-1742704.9122612274,-844792.1822701137,0.0
-1739394.585274396,-844792.1822701137,0.0
-1736084.2582875646,-844792.1822701137,0.0
-1732773.9313007332,-844792.1822701137,0.0
-1729463.6043139019,-844792.1822701137,0.0
-1726153.2773270705,-844792.1822701137,0.0
-1722842.950340239,-844792.1822701137,0.0
-1719532.6233534077,-844792.1822701137,0.0
-1716222.2963665763,-844792.1822701137,0.0
-1712911.969379745,-844792.1822701137,0.0
-1709601.6423929136,-844792.1822701137,0.0
-1706291.3154060822,-844792.1822701137,0.0
-1702980.988419251,-844792.1822701137,0.0
-1699670.6614324194,-844792.1822701137,0.0
-1696360.3344455883,-844792.1822701137,0.0
-1693050.007458757,-844792.1822701137,0.0
-1689739.6804719255,-844792.1822701137,0.0
-1686429.3534850942,-844792.1822701137,0.0
-1683119.0264982628,-844792.1822701137,0.0
-1679808.6995114314,-844792.1822701137,0.0
-1676498.3725246,-844792.1822701137,0.0
-1673188.0455377686,-844792.1822701137,0.0
-1669877.7185509373,-844792.1822701137,0.0
-1666567.3915641059,-844792.1822701137,0.0
-1663257.0645772745,-844792.1822701137,0.0
-1659946.737590443,-844792.1822701137,0.0
-1656636.4106036117,-844792.1822701137,0.0
-1653326.0836167803,-844792.1822701137,0.0
-1650015.756629949,-844792.1822701137,0.0
-1646705.4296431176,-844792.1822701137,0.0
-1643395.1026562862,-844792.1822701137,0.0
-1640084.7756694548,-844792.1822701137,0.0
-1636774.4486826234,-844792.1822701137,0.0
-1633464.121695792,-844792.1822701137,0.0
-1630153.7947089607,-844792.1822701137,0.0
-1626843.4677221293,-844792.1822701137,0.0
-1623533.140735298,-844792.1822701137,0.0
-1620222.8137484665,-844792.1822701137,0.0
-1616912.4867616352,-844792.1822701137,0.0
-1613602.1597748038,-844792.1822701137,0.0
-1610291.8327879724,-844792.1822701137,0.0
-1606981.505801141,-844792.1822701137,0.0
-1603671.1788143096,-844792.1822701137,0.0
-1600360.8518274785,-844792.1822701137,0.0
-1597050.524840647,-844792.1822701137,0.0
-1593740.1978538157,-844792.1822701137,0.0
-1590429.8708669841,-844792.1822701137,0.0
-1587119.543880153,-844792.1822701137,0.0
-1583809.2168933216,-844792.1822701137,0.0
